tiltX,tiltY,tiltZ,accAngleX,accAngleY,accAngleZ,gyroX,gyroY,gyroZ,Click,RotDir,RotVal
-17.62,-89.23,50.11,89.23,-87.87,0.34,15052,28139,16310,0,RIGHT,2
-39.26,-89.45,27.96,89.45,-88.87,0.36,13255,32767,5042,0,RIGHT,2
-17.75,-89.28,56.72,89.28,-89.02,0.43,13171,21842,5562,0,RIGHT,2
-23.41,-89.29,67.88,89.29,-89.05,0.16,11057,17991,3819,0,RIGHT,2
-15.33,-89.22,62.40,89.22,-88.68,0.38,4339,14924,2455,0,RIGHT,2
-15.11,-88.90,73.44,88.90,-88.62,0.28,5773,12753,-4005,0,RIGHT,2
45.00,-90.00,45.00,90.00,90.00,0.00,-3783,14694,-6015,0,RIGHT,2
-8.15,-88.81,81.05,88.81,-86.28,0.49,807,5094,476,0,RIGHT,2
-8.07,-88.73,84.30,88.73,-85.80,0.45,1880,7926,-1918,0,RIGHT,2
168.80,86.60,-105.15,-86.60,82.94,179.58,4984,-3231,-5563,0,RIGHT,2
-4.04,-85.89,84.13,85.89,-84.75,0.53,-99,350,-1737,0,RIGHT,2
-3.44,89.66,112.40,-89.66,-86.58,0.25,-8670,-768,2132,1,RIGHT,2
-0.14,-86.64,86.12,86.64,-36.25,0.15,-1100,30,14,0,RIGHT,2
-22.14,-89.30,61.42,89.30,-88.58,0.60,3935,3960,-35,1,RIGHT,0
-4.05,-77.24,88.11,77.24,-81.33,0.18,371,372,-45,0,RIGHT,0
-1.62,-85.10,85.43,85.10,-81.70,0.31,77,248,-9,0,RIGHT,0
-1.18,-82.89,85.15,82.89,-61.68,0.58,75,297,-4,0,RIGHT,0
-1.26,-84.41,85.40,84.41,-64.96,0.18,34,282,4,0,RIGHT,0
-1.37,-81.93,85.69,81.93,-74.57,0.50,90,290,10,0,RIGHT,0
-1.73,-82.15,85.43,82.15,-73.45,0.29,99,268,-15,0,RIGHT,0
-1.56,-84.82,85.71,84.82,-69.24,0.54,188,230,34,0,RIGHT,0
-1.44,-88.80,85.15,88.80,-69.28,0.59,101,235,4,0,RIGHT,0
-0.49,-81.01,86.61,81.01,-51.55,0.59,172,73,3,0,RIGHT,0
19.40,89.69,105.56,-89.69,89.36,0.24,-3174,-2231,193,0,RIGHT,0
-2.50,-74.25,87.73,74.25,-80.75,0.38,308,345,-34,0,RIGHT,0
-1.13,-89.08,84.64,89.08,-70.80,0.43,77,172,23,0,RIGHT,0
-10.42,86.98,103.04,-86.98,-85.05,0.53,706,-2342,-683,1,RIGHT,0
-4.60,-85.80,80.93,85.80,-82.91,0.29,405,204,-595,0,RIGHT,0
1.39,84.02,93.27,-84.02,68.84,0.40,-1026,-41,-1797,1,RIGHT,0
-1.32,-85.20,83.86,85.20,-78.33,0.44,-90,1020,-46,0,RIGHT,0
-2.48,-82.95,86.82,82.95,-76.23,0.59,75,243,39,0,RIGHT,0
-2.08,-87.34,82.11,87.34,-82.77,0.44,279,13,54,0,RIGHT,0
4.35,-5.17,89.96,5.17,85.77,0.34,572,-1472,14,0,RIGHT,0
0.00,-88.71,86.52,88.71,0.00,0.00,-1,7,9,0,RIGHT,0
-0.28,-84.69,84.88,84.69,-37.71,0.22,-323,496,51,0,RIGHT,0
-4.16,-85.21,85.50,85.21,-84.69,0.58,223,695,-72,0,RIGHT,0
-0.89,-83.58,86.13,83.58,-68.83,0.16,15,249,-8,0,RIGHT,0
-2.21,-81.68,85.52,81.68,-77.93,0.65,141,99,34,1,RIGHT,0
-1.30,-84.35,84.75,84.35,-71.44,0.17,-81,467,5,1,RIGHT,0
-2.35,-84.41,85.21,84.41,-82.59,0.56,85,231,19,0,RIGHT,0
-1.86,-79.71,87.68,79.71,-80.38,0.44,-47,212,17,0,RIGHT,0
3.39,-85.10,85.08,85.10,85.63,0.41,85,882,-171,0,RIGHT,0
